Energia;Block;Latencia;Cobertura;Demands
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
470.0;0;0.0;1;1
676.6666666666666;0;0.0;1;3
745.0;0;7.701709575818357e-07;1;8
796.6666666666666;0;2.7803848337805235e-06;1;24
928.3076923076923;0;1.0391174319503649e-05;1;65
1072.4324324324325;0;1.4786870171518241e-05;1;111
1218.1456953642385;0;1.8129441765659446e-05;1;151
1364.362745098039;0;2.1034453421952313e-05;1;204
1388.3490566037735;0;2.226530227770397e-05;1;212
1414.9166666666667;0;2.223628924730197e-05;1;240
1398.8362068965516;0;2.2942460820928794e-05;1;232
1313.7704918032787;0;2.2372678117902358e-05;1;183
1239.8701298701299;0;2.220186847919893e-05;1;154
1051.9444444444443;0;2.1246518706669335e-05;1;108
958.6363636363636;0;2.0912316579889015e-05;1;66
829.4444444444445;0;2.0536148184493306e-05;1;36
826.6666666666666;0;2.017526913417561e-05;1;33
771.4285714285714;0;2.002361590611722e-05;1;14
728.3333333333334;0;1.9958744580287466e-05;1;6
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
470.0;0;0.0;1;1
625.0;0;2.5038206826286292e-06;1;4
573.3333333333334;0;6.127263675040403e-06;1;3
691.4285714285714;0;3.4465858172102267e-06;1;7
799.2592592592592;0;2.008089659655377e-06;1;27
880.5882352941177;0;7.367571462863009e-06;1;51
1038.6274509803923;0;1.1983535281300782e-05;1;102
1204.9418604651162;0;1.4483640569732567e-05;1;172
1312.8019323671497;0;1.6970410237573805e-05;1;207
1385.6108597285067;0;1.8815565224125078e-05;1;221
1395.5172413793102;0;1.96548836373329e-05;1;232
1406.1883408071749;0;2.105263969385028e-05;1;223
1276.504854368932;0;2.1502464482887162e-05;1;206
1206.875;0;2.1937431370925285e-05;1;160
1040.8;0;2.1353123021949057e-05;1;100
952.1875;0;2.109625998579389e-05;1;64
806.551724137931;0;2.08141908704875e-05;1;29
774.7058823529412;0;2.0624170186707884e-05;1;17
776.4705882352941;0;2.044731654019986e-05;1;17
703.75;0;2.0380655588071346e-05;1;8
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;2
0.0;0;0.0;0;0
743.75;0;4.012244897959184e-06;1;8
790.0;0;4.037910808952248e-06;1;19
832.8571428571429;0;5.419575456466876e-06;1;42
1017.8723404255319;0;6.541047550707058e-06;1;94
1200.7534246575342;0;1.1733492794025737e-05;1;146
1292.1938775510205;0;1.615751359901951e-05;1;196
1377.3127753303966;0;1.75710460811765e-05;1;227
1366.3228699551569;0;1.989602521168403e-05;1;223
1356.280193236715;0;2.192051119363753e-05;1;207
1334.8387096774193;0;2.220551701689332e-05;1;186
1172.608695652174;0;2.211655907245636e-05;1;161
1030.8;0;2.1390044856860417e-05;1;100
961.25;0;2.0770791721543196e-05;1;80
823.5483870967741;0;2.0429702859392148e-05;1;31
774.5454545454545;0;2.019499470920463e-05;1;22
778.0;0;2.0034570762305154e-05;1;15
741.25;0;1.9943865291960817e-05;1;8
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
676.6666666666666;0;0.0;1;3
761.5384615384615;0;0.0;1;13
730.0;0;6.531706128596425e-07;1;6
780.4166666666666;0;3.2064234728840406e-06;1;24
936.0294117647059;0;7.608081482583423e-06;1;68
1116.64;0;1.3641685949053469e-05;1;125
1225.10989010989;0;1.576138114839274e-05;1;182
1423.3333333333333;0;1.601701141662495e-05;1;216
1432.6609442060085;0;1.713624052930291e-05;1;233
1391.223628691983;0;1.9693086380602245e-05;1;237
1418.868778280543;0;2.0118322236700782e-05;1;221
1373.7383177570093;0;2.0405897524149838e-05;1;214
1155.4140127388534;0;2.0655715239732693e-05;1;157
1068.0;0;1.9780817296882177e-05;1;125
935.0;0;1.925231020007029e-05;1;70
840.952380952381;0;1.8941129568388747e-05;1;42
797.7272727272727;0;1.8796779052056465e-05;1;22
758.1818181818181;0;1.8696904764176237e-05;1;11
741.4285714285714;0;1.8630704292072426e-05;1;7
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
702.5;0;0.0;1;4
756.3636363636364;0;2.5076530612244904e-06;1;11
724.2857142857143;0;1.4803967841682131e-06;1;14
856.6071428571429;0;3.5969132147334586e-06;1;56
1022.2619047619048;0;6.2631066140206726e-06;1;84
1163.0985915492959;0;1.195479055860437e-05;1;142
1413.5135135135135;0;2.0435331082174456e-05;1;222
1445.5421686746988;0;2.0676274397649886e-05;1;249
1402.3430962343095;0;2.1147453062206762e-05;1;239
1418.8105726872247;0;2.1608187371288292e-05;1;227
1318.066037735849;0;2.2504744990955848e-05;1;212
1224.0718562874251;0;2.3812654644607896e-05;1;167
1050.462962962963;0;2.3186903598465042e-05;1;108
935.2941176470588;0;2.2424216915400678e-05;1;68
818.6486486486486;0;2.2055533607582045e-05;1;37
781.304347826087;0;2.1796820020441455e-05;1;23
775.2941176470588;0;2.160115599520763e-05;1;17
718.0;0;2.1543888879631785e-05;1;5
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
470.0;0;0.0;1;1
625.0;0;0.0;1;2
741.25;0;5.561212944105002e-07;1;8
759.1666666666666;0;2.780606472052501e-07;1;12
820.5714285714286;0;1.8260263498847426e-06;1;35
900.3030303030303;0;2.5252518811846706e-06;1;66
1026.1052631578948;0;4.627596837052266e-06;1;95
1089.225352112676;0;9.45263251346078e-06;1;142
1385.4285714285713;0;1.3514716063631297e-05;1;210
1409.6296296296296;0;1.6312049111689768e-05;1;216
1401.7272727272727;0;1.6144850002740482e-05;1;220
1335.4017857142858;0;1.7861585764006633e-05;1;224
1366.7326732673268;0;1.962677257458392e-05;1;202
1186.3461538461538;0;1.903026441569318e-05;1;156
1052.5471698113208;0;1.844881187743992e-05;1;106
853.2835820895523;0;1.7951183963607068e-05;1;67
815.0;0;1.7658626819629217e-05;1;32
810.6666666666666;0;1.7380292182796695e-05;1;30
769.2307692307693;0;1.725736302154732e-05;1;13
751.1111111111111;0;1.7173271918572806e-05;1;9
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
573.3333333333334;0;0.0;1;3
781.25;0;1.823934277158575e-06;1;16
820.0;0;2.5843421473834028e-06;1;36
830.4166666666666;0;2.790157631816768e-06;1;48
997.8125;0;4.7437992953919856e-06;1;96
1162.7027027027027;0;1.2365615865047536e-05;1;148
1339.4845360824743;0;1.8950416806793307e-05;1;194
1411.949152542373;0;2.0041879782362813e-05;1;236
1395.4634146341464;0;2.018131322765397e-05;1;205
1211.3609467455622;0;2.0275416503010447e-05;1;169
1136.3703703703704;0;1.933614141442872e-05;1;135
1011.304347826087;0;1.8834566868714803e-05;1;92
