Energia;Block;Latencia;Cobertura;Demands
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
470.0;0;0.0;1;1
728.3333333333334;0;0.0;1;6
735.7142857142857;0;0.0;1;7
806.551724137931;0;1.0004289162618908e-06;1;29
829.7560975609756;0;4.102196416848316e-06;1;41
1065.5555555555557;0;5.808024348374005e-06;1;126
1401.2133891213389;0;1.0617978564505586e-05;1;239
1452.4363636363637;0;1.4768999360874414e-05;1;275
1505.2449567723343;0;1.7792071441662385e-05;1;347
1531.2537313432836;0;1.8963778296778338e-05;1;335
1525.6955380577429;0;1.9654727656897226e-05;1;381
1517.4137931034484;0;1.9566762581960227e-05;1;348
1524.606413994169;0;2.0610903670039204e-05;1;343
1474.6078431372548;0;2.072936036172692e-05;1;306
1472.5089605734768;0;2.120129537809037e-05;1;279
1449.437751004016;0;2.1022249967709078e-05;1;249
1373.5353535353536;0;2.1311404933204135e-05;1;198
1096.7768595041323;0;2.1032369381163224e-05;1;121
897.3584905660377;0;2.077270955871252e-05;1;53
810.3333333333334;0;2.063618137349068e-05;1;30
775.2941176470588;0;2.0552767817692092e-05;1;17
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
0.0;0;0.0;0;0
702.5;0;0.0;1;4
728.3333333333334;0;0.0;1;6
785.8333333333334;0;5.332090546641938e-07;1;24
895.6603773584906;0;1.2114734836654227e-06;1;53
1080.8461538461538;0;1.0371877660739052e-05;1;130
1362.8318584070796;0;2.3589353427094347e-05;1;226
1499.4285714285713;0;2.354380776257632e-05;1;280
1490.6752411575562;0;2.2466215323626565e-05;1;311
1536.4809384164223;0;2.1647257728932937e-05;1;341
1523.2628398791542;0;2.1896524380632813e-05;1;331
1528.063583815029;0;2.333275468525756e-05;1;346
1536.993865030675;0;2.4241189713772704e-05;1;326
1511.7378048780488;0;2.4138039732882764e-05;1;328
1504.032258064516;0;2.3947306994987496e-05;1;310
1453.1048387096773;0;2.393665566189172e-05;1;248
1314.6231155778894;0;2.4477631222430854e-05;1;199
1044.3119266055046;0;2.3969275897834117e-05;1;109
910.6666666666666;0;2.3686391806366424e-05;1;60
814.375;0;2.3486021588748996e-05;1;32
782.0;0;2.3391874489978535e-05;1;15
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
470.0;0;0.0;1;1
656.0;0;0.0;1;5
742.5;0;0.0;1;8
808.8888888888889;0;2.331671795354703e-06;1;27
960.0;0;8.48832537757106e-06;1;75
1351.3846153846155;0;2.148174656778881e-05;1;195
1491.3684210526317;0;2.16072424621669e-05;1;285
1482.6666666666667;0;2.3109088664962598e-05;1;315
1526.565349544073;0;2.3265549633945265e-05;1;329
1511.5963855421687;0;2.2827493473764354e-05;1;332
1543.8681948424069;0;2.3373605642960274e-05;1;349
1515.4775280898875;0;2.242211119634347e-05;1;356
1509.6264367816093;0;2.296456211797773e-05;1;348
1479.5637583892617;0;2.3000617122556632e-05;1;298
1461.9921875;0;2.3480915257228448e-05;1;256
1274.7668393782383;0;2.4210475726991986e-05;1;193
1067.7777777777778;0;2.362955018857855e-05;1;126
843.0769230769231;0;2.3441871891947307e-05;1;52
825.4545454545455;0;2.3226458324250945e-05;1;33
768.4615384615385;0;2.3143210604113994e-05;1;13
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
625.0;0;0.0;1;4
656.0;0;0.0;1;5
786.0;0;3.0206984349963786e-07;1;20
848.2;0;5.520379725707729e-06;1;50
1042.6168224299065;0;1.487326263283271e-05;1;107
1399.330357142857;0;2.0900676387353397e-05;1;224
1456.8992248062016;0;2.189079166964717e-05;1;258
1506.543624161074;0;2.192736950129559e-05;1;298
1505.8357771260996;0;2.3706049004145353e-05;1;341
1502.6409495548962;0;2.2888183316710202e-05;1;337
1528.8252148997135;0;2.3421575518535082e-05;1;349
1498.562874251497;0;2.3796809261099034e-05;1;334
1511.0610932475884;0;2.4568975736064485e-05;1;311
1498.1272084805653;0;2.4589911217106487e-05;1;283
1474.8275862068965;0;2.434373944964293e-05;1;261
1340.4878048780488;0;2.4166132640210456e-05;1;205
1035.7009345794393;0;2.3663499189851548e-05;1;107
846.2;0;2.3338761245831636e-05;1;50
811.0714285714286;0;2.321623188790989e-05;1;28
769.2307692307693;0;2.3137431710531478e-05;1;13
