Energia;Block;Latencia;Cobertura;Demands
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
470.0;0;0.0;1;2
625.0;0;0.0;1;2
702.5;0;0.0;1;4
794.0909090909091;0;8.070673815055954e-08;1;22
972.8947368421053;0;2.6125470320105764e-06;1;76
1101.2213740458014;0;8.545979541338992e-06;1;131
1324.7761194029852;0;1.6723403854660236e-05;1;201
1443.225806451613;0;2.0436827426411176e-05;1;248
1448.9655172413793;0;2.309607875762349e-05;1;261
1433.3203125;0;2.43346311379255e-05;1;256
1455.357142857143;0;2.379265002393644e-05;1;252
1359.0654205607477;0;2.390237997578176e-05;1;214
1233.132530120482;0;2.3811376684990176e-05;1;166
1104.724409448819;0;2.3163604641001938e-05;1;127
955.5714285714286;0;2.255994863446595e-05;1;70
843.4782608695652;0;2.2089482677271986e-05;1;46
794.7619047619048;0;2.187176568646733e-05;1;21
760.0;0;2.1752234926150545e-05;1;12
728.3333333333334;0;2.1690613864036806e-05;1;6
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
773.3333333333334;0;6.585344296880139e-06;1;15
809.6428571428571;0;3.5977889764259647e-06;1;28
868.421052631579;0;3.814359861979673e-06;1;57
1088.3333333333333;0;1.182896124466732e-05;1;126
1292.1025641025642;0;1.5318588096618876e-05;1;195
1389.1189427312775;0;1.6381309932005856e-05;1;227
1437.6447876447876;0;1.8387764168700596e-05;1;259
1422.857142857143;0;1.8586795131988664e-05;1;245
1418.6746987951808;0;1.8782316580156405e-05;1;249
1436.1016949152543;0;2.1344772267039594e-05;1;236
1343.9795918367347;0;2.2251336941642394e-05;1;196
1089.9212598425197;0;2.150570826425755e-05;1;127
918.2191780821918;0;2.08669509728647e-05;1;73
830.2325581395348;0;2.0674855380242012e-05;1;43
795.8333333333334;0;2.044186010485273e-05;1;24
780.0;0;2.027361567687325e-05;1;18
764.1666666666666;0;2.0206643150693492e-05;1;12
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
470.0;0;0.0;1;1
625.0;0;0.0;1;2
766.9230769230769;0;2.36014405762305e-06;1;13
791.25;0;1.0667371472166361e-06;1;24
892.8070175438596;0;2.4451928173881727e-06;1;57
1068.099173553719;0;1.4464027833843238e-05;1;121
1266.4673913043478;0;2.0376769680483508e-05;1;184
1389.4495412844037;0;2.206862924558223e-05;1;218
1376.2612612612613;0;2.1614438099612516e-05;1;222
1427.2457627118645;0;2.4183374208864222e-05;1;236
1408.0786026200874;0;2.3973823361544653e-05;1;229
1246.0588235294117;0;2.4074627506738374e-05;1;170
1181.3664596273293;0;2.316068280841632e-05;1;161
1065.2991452991453;0;2.2093122711675626e-05;1;117
872.5;0;2.1673225764984125e-05;1;56
842.7906976744187;0;2.1260609928355336e-05;1;43
736.9230769230769;0;2.112203225378886e-05;1;13
765.0;0;2.0987210771317863e-05;1;12
743.75;0;2.0898281912117367e-05;1;8
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;2
625.0;0;0.0;1;4
470.0;0;0.0;1;1
573.3333333333334;0;0.0;1;3
810.9090909090909;0;5.014811483872763e-07;1;33
890.15625;0;3.889509036314739e-06;1;64
1081.031746031746;0;1.0768257728311563e-05;1;126
1326.3861386138615;0;1.7437703323881166e-05;1;202
1371.6256157635469;0;2.0041239104493454e-05;1;203
1422.204081632653;0;2.2037550337122532e-05;1;245
1424.8908296943232;0;2.173244472420009e-05;1;229
1440.8641975308642;0;2.1632694081104798e-05;1;243
1373.0316742081448;0;2.2025296574706715e-05;1;221
1226.6666666666667;0;2.2614568138089817e-05;1;171
1136.793893129771;0;2.2678923802539757e-05;1;131
925.8928571428571;0;2.2088612802100658e-05;1;56
811.7241379310345;0;2.1821732281974225e-05;1;29
802.258064516129;0;2.1487708739097795e-05;1;31
788.8235294117648;0;2.1379641131671234e-05;1;17
753.0;0;2.1273853694107292e-05;1;10
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
625.0;0;0.0;1;2
573.3333333333334;0;2.5038206826286292e-06;1;3
703.75;0;1.0730660068408412e-06;1;8
761.6666666666666;0;9.38932755985736e-07;1;18
901.1538461538462;0;3.666114955548744e-06;1;52
1042.8703703703704;0;8.818401037477355e-06;1;108
1265.2542372881355;0;1.1567652992066111e-05;1;177
1358.894472361809;0;1.5422280767119012e-05;1;199
1395.75;0;1.884981815129522e-05;1;240
1406.0714285714287;0;2.048655467035158e-05;1;224
1400.4484304932735;0;2.037105660653931e-05;1;223
1407.2413793103449;0;2.1382617213429908e-05;1;232
1185.2702702702702;0;2.115171975754661e-05;1;148
1019.6330275229358;0;2.1227316934030173e-05;1;109
1006.8831168831168;0;2.093122682941229e-05;1;77
810.2564102564103;0;2.0684953986044926e-05;1;39
796.0869565217391;0;2.0440274741444148e-05;1;23
791.1111111111111;0;2.0259242655284897e-05;1;18
720.0;0;2.0206096688193387e-05;1;5
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
676.6666666666666;0;2.224485177642001e-06;1;3
780.0;0;5.361919518317073e-06;1;17
790.952380952381;0;2.615570496740036e-06;1;21
965.5384615384615;0;3.9258722872954365e-06;1;65
1116.3309352517986;0;1.0745515177587183e-05;1;139
1217.457627118644;0;1.4124847949877988e-05;1;177
1414.2792792792793;0;1.6807626974759186e-05;1;222
1414.7368421052631;0;1.7454827666774383e-05;1;247
1410.6837606837607;0;1.8528474051309417e-05;1;234
1432.25;0;1.9925231221566402e-05;1;240
1385.0236966824646;0;2.0652118637109795e-05;1;211
1305.9770114942528;0;2.1591288125716486e-05;1;174
1030.1960784313726;0;2.0722466983212122e-05;1;102
940.1492537313433;0;2.0370536497814002e-05;1;67
828.421052631579;0;2.0029695356079778e-05;1;38
768.125;0;1.986726498319723e-05;1;16
760.0;0;1.9740577677432556e-05;1;13
751.0;0;1.9642930449029923e-05;1;10
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
0.0;0;0.0;0;0
470.0;0;0.0;1;1
594.0;0;0.0;1;5
772.1428571428571;0;0.0;1;14
801.0344827586207;0;1.1672112577332333e-07;1;29
838.1632653061224;0;9.646726339645238e-07;1;49
1046.3392857142858;0;8.575869356530988e-06;1;112
1250.3932584269662;0;1.2563319176855201e-05;1;178
1395.9433962264152;0;1.7141047200382424e-05;1;212
1404.7011952191235;0;1.949244779754603e-05;1;251
1377.4782608695652;0;2.0474193527814567e-05;1;230
1421.5289256198348;0;2.0699333351464945e-05;1;242
1358.5990338164252;0;2.107646949358591e-05;1;207
1196.1490683229813;0;2.1147431031438734e-05;1;161
1056.701030927835;0;2.0735232797015088e-05;1;97
971.9736842105264;0;2.0158144211291518e-05;1;76
