simu_lambda_ci;simu_exec_ci;total_average_simu_power;avg_total_simu_lambda_usage;simu_nodes_mean;simu_lambdas_mean;simu_time_mean;avg_total_simu_cloud;avg_total_simu_fog;total_simu_served;total_simu_reqs;total_simu_avai;avg_total_delay;DelayCulmulado
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7563938188859104e-05
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7563938188859104e-05
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7563938188859104e-05
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7563938188859104e-05
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7563938188859104e-05
0.0;0.06397931359555187;310.0;0.1;0.5;0.5;0.016596198081970215;1.0;0.0;1.0;1.0;1.0;1.3838250000000001e-05;5.362086393345217e-05
0.0;0.06687011404056978;310.0;0.1;0.5;0.5;0.01766115427017212;1.0;0.0;1.0;1.0;1.0;1.3838250000000001e-05;5.3616866666666665e-05
0.6353102368216048;0.07657591784018382;155.0;0.05;0.25;0.25;0.006026655435562134;0.5;0.0;1.0;1.0;0.5;1.3838250000000001e-05;5.360893575007368e-05
0.39328728946099345;0.23773330921980784;550.25;0.19761904761904764;0.8875;0.8875;0.07782578468322754;1.0;0.0;4.5;4.5;1.0;2.0372979166666667e-05;5.363449796393252e-05
0.23927268659514989;0.1186065864348333;514.82145;0.20974025974025975;0.8303571428571428;0.8303571428571428;0.07094382601124899;1.0;0.0;5.5;5.5;1.0;2.1289615384615386e-05;5.3619974668969485e-05
0.45883517103782573;0.38717654657710204;619.83335;0.3138888888888889;1.0125;1.0333333333333334;0.1421359767516454;1.0;0.125;11.0;11.0;1.0;2.334749282608696e-05;5.366884455667789e-05
0.1166852270947342;0.2164566245029517;725.6583;0.3998810009519924;1.1657523510971788;2.2390282131661445;0.5941752843722281;1.0;0.2170846394984326;25.5;25.5;1.0;2.6112063888888893e-05;5.4419478331068976e-05
0.08394452634878735;2.6324719719067553;727.11915;0.4048652839697616;1.1542232277526394;2.569193061840121;0.6983913500114803;1.0;0.19834087481146306;36.5;36.5;1.0;2.7564596793831173e-05;5.4595586063037376e-05
0.02509389350047429;0.6895595044322763;704.0539;0.41641937669376694;1.1015037593984962;2.757518796992481;0.8110205045618808;1.0;0.13972431077694236;40.0;40.0;1.0;2.822608609709962e-05;5.48954864024864e-05
0.08559969506648947;0.8768778340410469;737.42875;0.4177368421052632;1.1584429824561404;2.969298245614035;0.8434700870461631;1.0;0.15186403508771928;43.0;43.0;1.0;2.8701562289915965e-05;5.5074733900435556e-05
0.08311406324010252;3.002296486533052;749.2452;0.4232078853046595;1.1781914893617023;3.0638297872340425;1.056274653568094;1.0;0.18414387031408308;44.5;44.5;1.0;2.901540548760421e-05;5.526377276441618e-05
0.03731014832619864;4.411417298038887;721.91175;0.4167423425043458;1.1358543417366946;2.7657563025210083;1.4166039717631513;1.0;0.15336134453781514;38.0;38.0;1.0;2.913102962180886e-05;5.532827063789902e-05
0.1577981863073251;1.4741043402134295;731.6342999999999;0.4051609220798351;1.170185810810811;2.4389780405405403;1.1594771198122888;1.0;0.22592905405405406;34.5;34.5;1.0;2.9112989805094703e-05;5.531041143052203e-05
0.2014199653262738;3.370446402758771;680.1731500000001;0.3865838023764853;1.0800865800865802;2.103896103896104;0.6182964813141596;1.0;0.09956709956709957;27.0;27.0;1.0;2.9086372767788658e-05;5.528366061720306e-05
0.1165961901811593;4.272209265138283;686.3742500000001;0.3696525096525096;1.1089181286549707;1.7309941520467835;0.6931556817035229;1.0;0.16228070175438597;18.5;18.5;1.0;2.901842707136998e-05;5.521894904348758e-05
0.14037330946915466;4.0788476068898625;648.7762;0.32704761904761903;1.0611888111888113;1.1188811188811187;0.47523128902995504;1.0;0.16783216783216784;12.0;12.0;1.0;2.893509471426389e-05;5.5150669674270795e-05
1.5580227236339352;0.8612462683961215;486.8182;0.2226190476190476;0.7954545454545454;0.8181818181818182;0.1105443076653914;1.0;0.09090909090909091;6.5;6.5;1.0;2.88511098939539e-05;5.5106077826921866e-05
0.7547702813521628;3.192560910640123;585.42855;0.2482905982905983;0.95;0.95;0.31923723050526215;1.0;0.07142857142857142;6.0;6.0;1.0;2.8792777917457303e-05;5.507308687860371e-05
0.8168274473420634;2.2995635926179547;426.25;0.1642857142857143;0.6875;0.6875;0.19312211871147156;1.0;0.0;2.5;2.5;1.0;2.874689729429048e-05;5.506136179028479e-05
