ID;RRHs
0;30
1;18
2;16
3;24
4;24
5;21
6;20
7;15
8;15
9;26
10;25
11;28
12;16
13;23
14;29
15;17
16;30
17;15
18;21
19;16
20;28
21;16
22;22
23;15
24;26
25;23
26;15
27;18
28;17
29;27
30;24
31;15
32;29
33;17
34;21
35;20
36;25
37;23
38;29
39;24
40;29
41;30
42;16
43;15
44;20
45;16
46;15
47;15
48;21
49;17
50;29
51;16
52;26
53;21
54;20
55;19
56;29
57;18
58;16
59;17
60;21
61;21
62;19
63;17
64;15
65;23
66;26
67;26
68;26
69;15
70;24
71;21
72;20
73;15
74;29
75;23
76;16
77;22
78;18
79;15
80;22
81;18
82;25
83;25
84;23
85;30
86;20
87;21
88;15
89;19
90;15
91;19
92;28
93;20
94;25
95;30
96;29
97;23
98;22
99;20
100;21
101;29
102;15
103;17
104;20
105;20
106;24
107;27
108;15
109;16
110;18
111;16
112;30
113;21
114;17
115;16
116;22
117;20
118;28
119;15
120;24
121;22
122;15
123;25
124;25
125;17
126;27
127;26
128;23
129;24
130;27
131;16
132;30
133;27
134;26
135;19
136;18
137;23
138;15
139;28
140;19
141;27
142;22
143;29
144;25
145;24
146;30
147;20
148;25
149;18
150;19
151;15
152;28
153;15
154;21
155;25
156;24
157;15
158;29
159;27
160;27
161;19
162;30
163;25
164;17
165;29
166;28
167;30
168;17
169;28
170;22
171;16
172;27
173;30
174;16
175;25
176;21
177;20
178;19
179;17
180;16
181;21
182;20
183;29
184;16
185;16
186;19
187;15
188;23
189;24
190;27
191;29
192;30
193;23
194;19
195;15
196;23
197;20
198;30
199;17
